task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,anneal_ent,episodic_reward.mean,episodic_reward.count,reward.mean,charts/SPS
Procgen:Plunder,{},256,0.01,64,2,0.99,0.003,512,True,2.064516067504883,31,0.011962890625,2134
Procgen:Plunder,{},256,0.0003,64,2,0.99,0.003,256,True,1.296296238899231,27,0.011962890625,1533
Procgen:Plunder,{},256,0.001,64,2,0.99,0.003,256,True,2.6666667461395264,24,0.01513671875,1538
Procgen:Plunder,{},256,0.003,64,2,0.99,0.003,256,True,2.3888888359069824,18,0.014404296875,1550
Procgen:Plunder,{},256,0.01,64,2,0.99,0.003,256,True,0,6,0,1570
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.0003,64,2,0.99,0.003,1024,False,0.7726566195487976,856,0.16147316992282867,4767
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.001,64,2,0.99,0.003,1024,False,0.9666121602058412,680,0.16047273576259613,4942
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.003,64,2,0.99,0.003,1024,False,0.6687454581260681,958,0.15641069412231445,4866
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.01,64,2,0.99,0.003,1024,False,0.5809763073921204,1086,0.15403814613819122,4729
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.0003,64,2,0.99,0.003,512,False,0.9116016626358032,720,0.1602424681186676,3896
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.001,64,2,0.99,0.003,512,False,0.9994369149208068,666,0.162506103515625,3750
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.003,64,2,0.99,0.003,512,False,0.6544864177703857,978,0.15627141296863556,3523
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.01,64,2,0.99,0.003,512,False,0.6318870186805725,996,0.15365222096443176,3615
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.001,64,2,0.99,0.003,256,False,0.9996978640556335,662,0.16157226264476776,2329
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.0003,64,2,0.99,0.003,256,False,0.9609280228614808,700,0.16422110795974731,2315
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.003,64,2,0.99,0.003,256,False,0.629745364189148,1011,0.1554376482963562,2401
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.0003,64,2,0.99,0.003,1024,True,0.6598486304283142,963,0.15513530373573303,4557
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.01,64,2,0.99,0.003,256,False,0.6426023244857788,996,0.15625779330730438,2400
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.001,64,2,0.99,0.003,1024,True,0.9097728729248048,717,0.15925467014312744,4574
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.01,64,2,0.99,0.003,1024,True,0.6361100077629089,973,0.15110717713832855,4825
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.003,64,2,0.99,0.003,1024,True,0.6392391324043274,992,0.15481571853160858,4710
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.0003,64,2,0.99,0.003,512,True,0.8537042737007141,749,0.1561094969511032,3491
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.001,64,2,0.99,0.003,512,True,0.9598850607872008,690,0.16169938445091248,3647
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.003,64,2,0.99,0.003,512,True,0.633345901966095,996,0.1540069729089737,3579
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.01,64,2,0.99,0.003,512,True,0.6452794075012207,989,0.15580599009990692,3582
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.0003,64,2,0.99,0.003,256,True,0.9994402527809144,677,0.1651906967163086,2400
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.003,64,2,0.99,0.003,256,True,0.6459482312202454,995,0.15691369771957395,2411
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.001,64,2,0.99,0.003,256,True,0.9983357787132264,676,0.164764404296875,2449
PickMatchingBalls,"{""max_balls"": 32, ""one_hot"": true, ""randomize"": true}",256,0.01,64,2,0.99,0.003,256,True,0.5877456068992615,1078,0.15468499064445496,2510
NotHotdog,{},256,0.0003,64,2,0.99,0.003,1024,False,1,4096,1,6415
