task,kwargs,num_envs,lr,dmodel,nlayer,gamma,ent_coef,bs,episodic_reward.mean,episodic_reward.count,reward.mean
Procgen:Leaper,{},128,3e-05,128,2,0.99,0.03,2048,1.1111111640930176,45,0.0244140625
Procgen:Leaper,{},128,3e-05,128,2,0.99,0.03,512,1.5151515007019043,33,0.0244140625
Procgen:Leaper,{},128,3e-05,32,2,0.99,0.03,2048,0,16,0
Procgen:Leaper,{},128,3e-05,32,2,0.99,0.03,512,2.307692289352417,26,0.029296875
Procgen:Leaper,{},128,3e-05,8,2,0.99,0.03,2048,1.6666666269302368,6,0.0048828125
Procgen:Leaper,{},128,3e-05,8,2,0.99,0.03,512,1.875,16,0.0146484375
FloorIsLava,{},128,3e-05,128,2,0.99,0.03,2048,0.12744140625,2048,0.12744140625
FloorIsLava,{},128,3e-05,128,2,0.99,0.03,512,0.14990234375,2048,0.14990234375
FloorIsLava,{},128,3e-05,32,2,0.99,0.03,2048,0.1279296875,2048,0.1279296875
FloorIsLava,{},128,3e-05,32,2,0.99,0.03,512,0.126953125,2048,0.126953125
FloorIsLava,{},128,3e-05,8,2,0.99,0.03,2048,0.11474609375,2048,0.11474609375
FloorIsLava,{},128,3e-05,8,2,0.99,0.03,512,0.12451171875,2048,0.12451171875
Count,"{""masked_choices"": 2}",128,3e-05,128,2,0.99,0.03,2048,1,2048,1
Count,"{""masked_choices"": 2}",128,3e-05,128,2,0.99,0.03,512,1,2048,1
Count,"{""masked_choices"": 2}",128,3e-05,32,2,0.99,0.03,2048,0.90087890625,2048,0.90087890625
Count,"{""masked_choices"": 2}",128,3e-05,32,2,0.99,0.03,512,1,2048,1
Count,"{""masked_choices"": 2}",128,3e-05,8,2,0.99,0.03,2048,0.748046875,2048,0.748046875
Count,"{""masked_choices"": 2}",128,3e-05,8,2,0.99,0.03,512,0.90576171875,2048,0.90576171875
CherryPick,"{""num_cherries"": 32}",128,3e-05,128,2,0.99,0.03,2048,0.9548905491828918,128,0.05968066677451134
CherryPick,"{""num_cherries"": 32}",128,3e-05,128,2,0.99,0.03,512,0.9982231259346008,128,0.06238894909620285
